No;Tanah Humus;Aluvial;Vulkanik;Gambut;Liat;Kapur;Litosol;Organosol;Regosol;Pasir;Laterit
1;Bayam;Bawang merah;Bawang Bombay;Bungur;Aster;Apel;Cabai;Bayam;Alpukat;Bawang Merah;Cokelat
2;Cabai;Bawang Putih;Bawang Merah;Cabai;Bunga Bakung;Dril;Cokelat;Daun Bawang;Anggur ;Bawang Putih;Kacang Panjang
3;Daun Bawang;Cabai;Bawang Putih;Jagung;Bunga Lili;Granado;Jambu Mete;Jagung;Apel;Bit;Karet
4;Jagung;Dahlia;Bengkuang;Kacang Tanah;Coneflower;Grapefruit;Karet;Jagung;Apel;Buah Naga;Kelapa
5;Jahe;Jagung;Cabai;Kedelai;Cup Plant;Jagung;Kelapa;Jahe;Bougenville;Bunga Katang;Kelapa Sawit
6;Jeruk  ;Jahe;Karet;Kelapa Sawit;Daylily;Jambu Mete;Kentang;Jeruk  ;Cabai ;Bunga Mahkota Duri;Kopi
7;Jeruk Nipis;Jeruk Nipis;Kelapa;Melon;Geranium;Jati;Ketela;Kacang Panjang;Ceri;Cabai;Labu Siam
8;Kacang Panjang;Kelapa;Kentang;Mentimun;Goldenrod;Jeruk;Kopi;Karet;Delima;Kacang Panjang;Mentimun 
9;Kangkung;Kunyit;Ketela;Meranti Rawa;Hosta;Jujube;Kubis;Kedelai;Jagung;Kaktus;Padi
10;Kelapa;Mangga;Kopi;Nanas;Ironweed;Kedelai;Lobak;Kelapa;Jambu Biji;Kelapa;Singkong
11;Kunyit;Mawar;Kubis;Pare;Kayu Putih;Kentang;Mentimun;Kunyit;Jeruk;Kentang;Sorgum
12;Mangga;Melati;Lobak;Pepaya;Kentang;Lemon;Padi;Mawar;Kedelai;Kurma;Talas
13;Melon;Melon;Padi;Pisang;Mawar;Mentimun;Rumput Tanah;Nanas;Mangga;Lidah Buaya;Tebu
14;Nanas;Padi;Sawi;Pohon Kempas;Pakis;Oyong;Sawi;Padi;Mentimun;Lidah Mertua;Wortel
15;Padi;Sayur kol;Singkong;Pohon Rengas;Rumput Bunga Matahari;Pir;Singkong;Sawi Hijau;Nanas;Lobak;
16;Sawi;Serai;Talas;Pohon Terentang;Sage Russia;Pisang;Talas;Sawi Putih;Palem;Pakis;
17;Selada;Tebu;Tembakau;Tanaman Punak;Stroberi;Prem Higuera;Tebu;Singkong;Pir;Peperomia Hijau;
18;Tebu;Tembakau;Terong;Singkong;Switchgrass;Singkong;Terong;Tembakau;Tembakau;Singkong;
19;Timun;Tomat;Ubi Jalar;Tomat;Tanaman Lilac;Ubi Jalar;Ubi Jalar;Timun;Terong;Tanaman Giok;
20;Tomat;Wortel;Wortel;Ubi Jalar;Teki Tahunan;Wortel;Wortel;Ubi Jalar;Tomat;Wortel;
